accession,organism,species_name,strain,assembly_name,assembly_level,scaffold_n50,contig_n50,submission_date,sequencing_tech,biosample,taxid
GCA_917834065.1,Ceutorhynchus assimilis (cabbage seed weevil),Ceutorhynchus assimilis,,PGI_CEUTPL_v4,Chromosome,,,2022/07/12 00:00,40,SAMEA10332706,467358
GCF_022605725.1,Anthonomus grandis grandis (boll weevil),Anthonomus grandis,,icAntGran1.3,Chromosome,,,2022/08/03 00:00,21,SAMN21902058,2921223
GCA_024550625.1,Dendroctonus valens (red turpentine beetle),Dendroctonus valens,,ASM2455062v1,Scaffold,,,2022/08/05 00:00,806,SAMN21591519,77173
GCA_022605985.2,Anthonomus grandis grandis (boll weevil),Anthonomus grandis,,icAntGran1.2 alternate haplotype,Scaffold,,,2022/07/29 00:00,21,SAMN21902058,2921223
GCA_018691245.2,Ips nitidus (beetles),Ips nitidus,,ASM1869124v2,Chromosome,,,2022/06/07 00:00,94,SAMN18793407,432259
GCA_020466635.2,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus ponderosae,,Dpon_M_20191212v2,Scaffold,,,2021/10/13 00:00,747,SAMN16793775,77166
GCF_020466585.1,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus ponderosae,,Dpon_F_20191213v2,Scaffold,,,2021/10/13 00:00,747,SAMN16793753,77166
GCA_935413205.1,Polydrusus cervinus (beetles),Polydrusus cervinus,,icPolCerv1.1,Chromosome,,,2022/04/28 00:00,38,SAMEA9359416,202137
GCA_935413225.1,Polydrusus cervinus (beetles),Polydrusus cervinus,,icPolCerv1.1 alternate haplotype,Contig,,,2022/04/16 00:00,38,SAMEA9359416,202137
GCA_019359885.1,Listronotus oregonensis (carrot weevil),Listronotus oregonensis,,ASM1935988v1,Scaffold,,,2021/07/27 00:00,67,SAMN18921935,412987
GCA_019049505.1,Pachyrhynchus sulphureomaculatus (beetles),Pachyrhynchus sulphureomaculatus,,P_sulf_FINAL_HiC_nocotam_named,Chromosome,,,2021/06/29 00:00,40,SAMN19302444,2840399
GCA_016904865.1,Pissodes strobi (beetles),Pissodes strobi,,GSC_weevil_1.0,Scaffold,,,2021/02/12 00:00,70,SAMN13254964,49927
GCA_016097725.1,Ips typographus (beetles),Ips typographus,,CZU_Ityp_1.0,Contig,,,2020/12/16 00:00,211,SAMN16538706,55986
GCA_014849505.1,Elaeidobius kamerunicus (beetles),Elaeidobius kamerunicus,,AAL_Ekam_1.0,Scaffold,,,2020/10/05 00:00,17,SAMN15158884,2663966
GCA_014490705.1,Rhynchophorus ferrugineus (red palm weevil),Rhynchophorus ferrugineus,,UGA_Rfer_1.0.alt,Scaffold,,,2020/09/01 00:00,62,SAMN13762421,354439
GCA_014462685.1,Rhynchophorus ferrugineus (red palm weevil),Rhynchophorus ferrugineus,,ASM1446268v1,Scaffold,,,2020/09/03 00:00,62,SAMN13762421,354439
GCA_014170235.1,Listronotus bonariensis (Argentine stem weevil),Listronotus bonariensis,,ASM1417023v1,Scaffold,,,2020/08/12 00:00,38,SAMN15324643,292309
GCA_013372445.1,Hypothenemus hampei (coffee berry borer),Hypothenemus hampei,,CENICAFE_Hham_1.1,Scaffold,,,2020/06/24 00:00,142,SAMN14646680,57062
GCA_012979105.1,Rhynchophorus ferrugineus (red palm weevil),Rhynchophorus ferrugineus,,ASM1297910v1,Scaffold,,,2020/05/06 00:00,108,SAMN10995380,354439
GCF_002938485.1,Sitophilus oryzae (rice weevil),Sitophilus oryzae,,Soryzae_2.0,Scaffold,,,2019/09/09 00:00,101,SAMN08382431,7048
GCF_000355655.1,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus ponderosae,,DendPond_male_1.0,Scaffold,,,2013/04/10 00:00,443,SAMN01121785,77166
GCA_001012855.1,Hypothenemus hampei (coffee berry borer),Hypothenemus hampei,,ASM101285v1,Scaffold,,,2015/05/22 00:00,100,SAMN03448479,57062
GCA_000346045.2,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus ponderosae,,DendPond_female_1.0,Scaffold,,,2013/09/23 00:00,227,SAMN01121786,77166
